----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Mult. | Configurations  |     Terms    |                 Observed  |                       Ritz    |              Ei           Ek              |  gi   gk  |     Aki    |     fik    | Acc. |Type|      TP  |       Line  |
  No.  |                 |              |                Wavelength |                    Wavelength |            (cm-1)       (cm-1)            |           |     s^-1   |            |      |    |     Ref. |       Ref.  |
       |                 |              |                 Vac  (Å)  |                     Vac  (Å)  |                                           |           |            |            |      |    |          |             |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   187 |  1s.3p - 1s.7s  |   1P* - 1S   |                           |                10235.906693   |[186209.36494]       - [195978.895183]     |   3 - 1   |  6.773e+05 |  3.546e-03 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   188 |  1s.3p - 1s.7d  |   1P* - 1D   |                           |                10141.202613   |[186209.36494]       - [196070.12838342]   |   3 - 5   |  1.125e+06 |  2.891e-02 | AAA  |    | T8636c73 |       L366  |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   189 |  1s.3p - 1s.8s  |   1P* - 1S   |                           |                 9685.043159   |[186209.36494]       - [196534.5641527]    |   3 - 1   |  4.427e+05 |  2.075e-03 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   190 |  1s.3p - 1s.8d  |   1P* - 1D   |                           |                 9628.337403   |[186209.36494]       - [196595.37405237]   |   3 - 5   |  7.374e+05 |  1.708e-02 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   191 |  1s.3p - 1s.9s  |   1P* - 1S   |                           |                 9342.705410   |[186209.36494]       - [196912.9026855]    |   3 - 1   |  3.056e+05 |  1.333e-03 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   192 |  1s.3p - 1s.9d  |   1P* - 1D   |                           |                 9305.715623   |[186209.36494]       - [196955.44875025]   |   3 - 5   |  5.103e+05 |  1.104e-02 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   193 |  1s.3p - 1s.10s |   1P* - 1S   |                           |                 9113.526704   |[186209.36494]       - [197182.0655468]    |   3 - 1   |  2.200e+05 |  9.131e-04 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   194 |  1s.3p - 1s.10d |   1P* - 1D   |                           |                 9087.914548   |[186209.36494]       - [197212.98953041]   |   3 - 5   |  3.681e+05 |  7.596e-03 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   195 |  1s.4s - 1s.4p  |   3S  - 3P*  |                           |               108820.56       | 190298.11326        -  191217.057224      |   3 - 9   |  2.282e+05 |  1.215e+00 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |               108808.360      |[190298.113260]      - [191217.160290]     |   3 - 1   |  2.2825e+05|  1.3504e-01| AAA  |    | T8636c73 |             |
       |                 |              |                           |               108821.423      |[190298.113260]      - [191217.049963]     |   3 - 3   |  2.2825e+05|  4.0523e-01| AAA  |    | T8636c73 |             |
       |                 |              |                           |               108822.489      |[190298.113260]      - [191217.040967]     |   3 - 5   |  2.2825e+05|  6.7539e-01| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   196 |  1s.4s - 1s.5p  |   3S  - 3P*  |                           |                28550.1994     | 190298.11326        -  193800.715766      |   3 - 9   |  1.207e+05 |  4.425e-02 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                28549.77721    |[190298.113260]      - [193800.767563]     |   3 - 1   |  1.2068e+05|  4.9156e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                28550.22915    |[190298.113260]      - [193800.712118]     |   3 - 3   |  1.2068e+05|  1.4747e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                28550.26601    |[190298.113260]      - [193800.707595]     |   3 - 5   |  1.2068e+05|  2.4579e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   197 |  1s.4s - 1s.6p  |   3S  - 3P*  |                           |                20430.5352     | 190298.11326        -  195192.7476477     |   3 - 9   |  1.152e+05 |  2.163e-02 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                20430.41148    |[190298.113260]      - [195192.7772813]    |   3 - 1   |  1.1524e+05|  2.4038e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                20430.54389    |[190298.113260]      - [195192.7455590]    |   3 - 3   |  1.1524e+05|  7.2114e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                20430.55468    |[190298.113260]      - [195192.7429742]    |   3 - 5   |  1.1524e+05|  1.2019e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   198 |  1s.4s - 1s.7p  |   3S  - 3P*  |                           |                17454.4296     | 190298.11326        -  196027.3179468     |   3 - 9   |  8.596e+04 |  1.178e-02 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                17454.43852    |[190298.113260]      - [196027.3150267]    |   3 - 5   |  8.5957e+04|  6.5433e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                17454.43360    |[190298.113260]      - [196027.3166408]    |   3 - 3   |  8.5957e+04|  3.9260e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                17454.37320    |[190298.113260]      - [196027.3364649]    |   3 - 1   |  8.5957e+04|  1.3087e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   199 |  1s.4s - 1s.8p  |   3S  - 3P*  |                           |                15952.5240     | 190298.11326        -  196566.7137673     |   3 - 9   |  6.258e+04 |  7.163e-03 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                15952.52894    |[190298.113260]      - [196566.7118220]    |   3 - 5   |  6.2580e+04|  3.9792e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                15952.52620    |[190298.113260]      - [196566.7128971]    |   3 - 3   |  6.2580e+04|  2.3875e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                15952.49259    |[190298.113260]      - [196566.7261046]    |   3 - 1   |  6.2580e+04|  7.9584e-04| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   200 |  1s.4s - 1s.9p  |   3S  - 3P*  |                           |                15066.5500     | 190298.11326        -  196935.3327788     |   3 - 9   |  4.613e+04 |  4.710e-03 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                15066.55313    |[190298.113260]      - [196935.3314182]    |   3 - 5   |  4.6126e+04|  2.6162e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                15066.55143    |[190298.113260]      - [196935.3321700]    |   3 - 3   |  4.6126e+04|  1.5697e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                15066.53045    |[190298.113260]      - [196935.3414081]    |   3 - 1   |  4.6126e+04|  5.2325e-04| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   201 |  1s.4s - 1s.10p |   3S  - 3P*  |                           |                14492.2906     | 190298.11326        -  197198.3337108     |   3 - 9   |  3.468e+04 |  3.276e-03 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                14492.29268    |[190298.113260]      - [197198.3327222]    |   3 - 5   |  3.4680e+04|  1.8199e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                14492.29153    |[190298.113260]      - [197198.3332683]    |   3 - 3   |  3.4680e+04|  1.0920e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                14492.27743    |[190298.113260]      - [197198.3399816]    |   3 - 1   |  3.4680e+04|  3.6399e-04| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   202 |  1s.4s - 1s.4d  |   1S  - 1D   |                           |               197538.908      |[190940.226355]      - [191446.4557405]    |   1 - 5   |  2.029e-04 |  5.935e-09 | AAA  | E2 |    T7378 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   203 |  1s.4s - 1s.4p  |   1S  - 1P*  |                           |               181000.208      |[190940.226355]      - [191492.711909]     |   1 - 3   |  5.822e+04 |  8.578e-01 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   204 |  1s.4s - 1s.5d  |   1S  - 1D   |                           |                33578.86709    |[190940.226355]      - [193918.28990114]   |   1 - 5   |  7.019e-01 |  5.932e-07 | AAA  | E2 |    T7378 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   205 |  1s.4s - 1s.5p  |   1S  - 1P*  |                           |                33308.50807    |[190940.226355]      - [193942.462294]     |   1 - 3   |  2.932e+05 |  1.463e-01 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   206 |  1s.4s - 1s.6d  |   1S  - 1D   |                           |                23145.23274    |[190940.226355]      - [195260.77050808]   |   1 - 5   |  4.302e-01 |  1.728e-07 | AA   | E2 |    T7378 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   207 |  1s.4s - 1s.6p  |   1S  - 1P*  |                           |                23069.74247    |[190940.226355]      - [195274.908466]     |   1 - 3   |  2.204e+05 |  5.276e-02 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   208 |  1s.4s - 1s.7p  |   1S  - 1P*  |                           |                19459.56425    |[190940.226355]      - [196079.0875698]    |   1 - 3   |  1.521e+05 |  2.590e-02 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   209 |  1s.4s - 1s.8p  |   1S  - 1P*  |                           |                17664.18095    |[190940.226355]      - [196601.400247]     |   1 - 3   |  1.066e+05 |  1.496e-02 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   210 |  1s.4s - 1s.9p  |   1S  - 1P*  |                           |                16612.76803    |[190940.226355]      - [196959.692816]     |   1 - 3   |  7.691e+04 |  9.547e-03 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   211 |  1s.4s - 1s.10p |   1S  - 1P*  |                           |                15934.06304    |[190940.226355]      - [197216.0895622]    |   1 - 3   |  5.705e+04 |  6.515e-03 | AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   212 |  1s.4p - 1s.4d  |   3P* - 3D   |                           |               439699.50       | 191217.057224       -  191444.4852741     |   9 - 15  |  4.154e+03 |  2.007e-01 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |               439676.471      |[191217.040967]      - [191444.4809292]    |   5 - 7   |  4.1539e+03|  1.6854e-01| AAA  |    | T8636c73 |             |
       |                 |              |                           |               439691.540      |[191217.049963]      - [191444.4821307]    |   3 - 5   |  3.1150e+03|  1.5047e-01| AAA  |    | T8636c73 |             |
       |                 |              |                           |               439869.099      |[191217.160290]      - [191444.5006512]    |   1 - 3   |  2.3077e+03|  2.0082e-01| AAA  |    | T8636c73 |             |
       |                 |              |                           |               439674.149      |[191217.040967]      - [191444.4821307]    |   5 - 5   |  1.0383e+03|  3.0091e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |               439655.738      |[191217.049963]      - [191444.5006512]    |   3 - 3   |  1.7308e+03|  5.0157e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |               439638.349      |[191217.040967]      - [191444.5006512]    |   5 - 3   |  1.1539e+02|  2.0062e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   213 |  1s.4p - 1s.5s  |   3P* - 3S   |                           |                46949.809      | 191217.057224       -  193346.991344      |   9 - 3   |  2.023e+06 |  2.228e-01 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                46952.0809     |[191217.160290]      - [193346.991344]     |   1 - 3   |  2.2474e+05|  2.2283e-01| AAA  |    | T8636c73 |             |
       |                 |              |                           |                46949.6489     |[191217.049963]      - [193346.991344]     |   3 - 3   |  6.7421e+05|  2.2280e-01| AAA  |    | T8636c73 |             |
       |                 |              |                           |                46949.4506     |[191217.040967]      - [193346.991344]     |   5 - 3   |  1.1237e+06|  2.2280e-01| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   214 |  1s.4p - 1s.5d  |   3P* - 3D   |                           |                37035.7161     | 191217.057224       -  193917.15352106    |   9 - 15  |  1.279e+06 |  4.383e-01 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                37035.52379    |[191217.040967]      - [193917.15128741]   |   5 - 7   |  1.2793e+06|  3.6829e-01| AAA  |    | T8636c73 |             |
       |                 |              |                           |                37035.63839    |[191217.049963]      - [193917.15192855]   |   3 - 5   |  9.5937e+05|  3.2880e-01| AAA  |    | T8636c73 |             |
       |                 |              |                           |                37037.02198    |[191217.160290]      - [193917.16138710]   |   1 - 3   |  7.1071e+05|  4.3847e-01| AAA  |    | T8636c73 |             |
       |                 |              |                           |                37035.51499    |[191217.040967]      - [193917.15192855]   |   5 - 5   |  3.1979e+05|  6.5759e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                37035.50865    |[191217.049963]      - [193917.16138710]   |   3 - 3   |  5.3303e+05|  1.0961e-01| AAA  |    | T8636c73 |             |
       |                 |              |                           |                37035.38526    |[191217.040967]      - [193917.16138710]   |   5 - 3   |  3.5536e+04|  4.3844e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   215 |                 |   3P* - 1D   |                           |                37019.9590     | 191217.044341       -  193918.28990114    |   9 - 5   |  1.240e+02 |  1.415e-05 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                37019.91280    |[191217.040967]      - [193918.28990114]   |   5 - 5   |  3.276e+01 |  6.731e-06 | AA   |    | T8636c73 |             |
       |                 |              |                           |                37020.03609    |[191217.049963]      - [193918.28990114]   |   3 - 5   |  9.122e+01 |  3.124e-05 | AA   |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   216 |  1s.4p - 1s.6s  |   3P* - 3S   |                           |                26888.4970     | 191217.057224       -  194936.119697      |   9 - 3   |  9.591e+05 |  3.465e-02 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                26889.24213    |[191217.160290]      - [194936.119697]     |   1 - 3   |  1.0657e+05|  3.4655e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                26888.44446    |[191217.049963]      - [194936.119697]     |   3 - 3   |  3.1971e+05|  3.4653e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                26888.37942    |[191217.040967]      - [194936.119697]     |   5 - 3   |  5.3285e+05|  3.4653e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   217 |  1s.4p - 1s.6d  |   3P* - 3D   |                           |                24734.0139     | 191217.057224       -  195260.07265317    |   9 - 15  |  8.109e+05 |  1.240e-01 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                24733.92241    |[191217.040967]      - [195260.07135803]   |   5 - 7   |  8.1095e+05|  1.0413e-01| AAA  |    | T8636c73 |             |
       |                 |              |                           |                24733.97513    |[191217.049963]      - [195260.07173649]   |   3 - 5   |  6.0816e+05|  9.2963e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                24734.61665    |[191217.160290]      - [195260.07720298]   |   1 - 3   |  4.5053e+05|  1.2397e-01| AAA  |    | T8636c73 |             |
       |                 |              |                           |                24733.92010    |[191217.040967]      - [195260.07173649]   |   5 - 5   |  2.0272e+05|  1.8593e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                24733.94169    |[191217.049963]      - [195260.07720298]   |   3 - 3   |  3.3790e+05|  3.0991e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                24733.88665    |[191217.040967]      - [195260.07720298]   |   5 - 3   |  2.2527e+04|  1.2396e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   218 |                 |   3P* - 1D   |                           |                24729.6666     | 191217.044341       -  195260.77050808    |   9 - 5   |  6.990e+01 |  3.560e-06 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                24729.64598    |[191217.040967]      - [195260.77050808]   |   5 - 5   |  1.842e+01 |  1.689e-06 | AA   |    | T8636c73 |             |
       |                 |              |                           |                24729.70100    |[191217.049963]      - [195260.77050808]   |   3 - 5   |  5.148e+01 |  7.866e-06 | AA   |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   219 |  1s.4p - 1s.7s  |   3P* - 3S   |                           |                21499.9216     | 191217.057224       -  195868.236975      |   9 - 3   |  5.521e+05 |  1.275e-02 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                21499.84645    |[191217.040967]      - [195868.236975]     |   5 - 3   |  3.0673e+05|  1.2754e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                21499.88804    |[191217.049963]      - [195868.236975]     |   3 - 3   |  1.8404e+05|  1.2754e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                21500.39803    |[191217.160290]      - [195868.236975]     |   1 - 3   |  6.1346e+04|  1.2754e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   220 |  1s.4p - 1s.7d  |   3P* - 3D   |                           |                20607.4397     | 191217.057224       -  196069.67362545    |   9 - 15  |  5.206e+05 |  5.524e-02 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                20607.37415    |[191217.040967]      - [196069.67280898]   |   5 - 7   |  5.2063e+05|  4.6404e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                20607.41133    |[191217.049963]      - [196069.67304998]   |   3 - 5   |  3.9044e+05|  4.1429e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                20607.86526    |[191217.160290]      - [196069.67648966]   |   1 - 3   |  2.8924e+05|  5.5246e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                20607.37313    |[191217.040967]      - [196069.67304998]   |   5 - 5   |  1.3015e+05|  8.2860e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                20607.39673    |[191217.049963]      - [196069.67648966]   |   3 - 3   |  2.1693e+05|  1.3811e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                20607.35852    |[191217.040967]      - [196069.67648966]   |   5 - 3   |  1.4462e+04|  5.5243e-04| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   221 |  1s.4p - 1s.8s  |   3P* - 3S   |                           |                19068.3051     | 191217.057224       -  196461.3618105     |   9 - 3   |  3.505e+05 |  6.369e-03 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                19068.24601    |[191217.040967]      - [196461.3618105]    |   5 - 3   |  1.9474e+05|  6.3692e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                19068.27872    |[191217.049963]      - [196461.3618105]    |   3 - 3   |  1.1684e+05|  6.3690e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                19068.67988    |[191217.160290]      - [196461.3618105]    |   1 - 3   |  3.8948e+04|  6.3695e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   222 |  1s.4p - 1s.8d  |   3P* - 3D   |                           |                18594.25386    | 191217.057224       -  196595.0627498     |   9 - 15  |  3.506e+05 |  3.029e-02 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                18594.199543   |[191217.040967]      - [196595.06220247]   |   5 - 7   |  3.5063e+05|  2.5444e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                18594.230086   |[191217.049963]      - [196595.06236505]   |   3 - 5   |  2.6296e+05|  2.2717e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                18594.603578   |[191217.160290]      - [196595.06466814]   |   1 - 3   |  1.9480e+05|  3.0293e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                18594.198981   |[191217.040967]      - [196595.06236505]   |   5 - 5   |  8.7651e+04|  4.5433e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                18594.222122   |[191217.049963]      - [196595.06466814]   |   3 - 3   |  1.4610e+05|  7.5729e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                18594.191019   |[191217.040967]      - [196595.06466814]   |   5 - 3   |  9.7398e+03|  3.0291e-04| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   223 |  1s.4p - 1s.9s  |   3P* - 3S   |                           |                17715.01116    | 191217.057224       -  196861.9873396     |   9 - 3   |  2.375e+05 |  3.725e-03 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                17714.960144   |[191217.040967]      - [196861.9873396]    |   5 - 3   |  1.3193e+05|  3.7242e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                17714.988375   |[191217.049963]      - [196861.9873396]    |   3 - 3   |  7.9160e+04|  3.7243e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                17715.334609   |[191217.160290]      - [196861.9873396]    |   1 - 3   |  2.6387e+04|  3.7245e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   224 |  1s.4p - 1s.9d  |   3P* - 3D   |                           |                17427.15978    | 191217.057224       -  196955.22691128    |   9 - 15  |  2.466e+05 |  1.871e-02 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                17427.111577   |[191217.040967]      - [196955.22652671]   |   5 - 7   |  2.4659e+05|  1.5718e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                17427.138551   |[191217.049963]      - [196955.22664143]   |   3 - 5   |  1.8493e+05|  1.4033e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                17427.468713   |[191217.160290]      - [196955.22825838]   |   1 - 3   |  1.3699e+05|  1.8713e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                17427.111229   |[191217.040967]      - [196955.22664143]   |   5 - 5   |  6.1643e+04|  2.8067e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                17427.133640   |[191217.049963]      - [196955.22825838]   |   3 - 3   |  1.0275e+05|  4.6783e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                17427.106319   |[191217.040967]      - [196955.22825838]   |   5 - 3   |  6.8497e+03|  1.8712e-04| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   225 |  1s.4p - 1s.10s |   3P* - 3S   |                           |                16868.59490    | 191217.057224       -  197145.233258      |   9 - 3   |  1.687e+05 |  2.399e-03 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                16868.548638   |[191217.040967]      - [197145.2332580]    |   5 - 3   |  9.3727e+04|  2.3990e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                16868.574237   |[191217.049963]      - [197145.2332580]    |   3 - 3   |  5.6236e+04|  2.3990e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                16868.888176   |[191217.160290]      - [197145.2332580]    |   1 - 3   |  1.8745e+04|  2.3990e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
   226 |  1s.4p - 1s.10d |   3P* - 3D   |                           |                16678.42797    | 191217.057224       -  197212.82614147    |   9 - 15  |  1.798e+05 |  1.250e-02 |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                16678.383525   |[191217.040967]      - [197212.82586104]   |   5 - 7   |  1.7977e+05|  1.0496e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                16678.408317   |[191217.049963]      - [197212.82594494]   |   3 - 5   |  1.3482e+05|  9.3706e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                16678.711939   |[191217.160290]      - [197212.82712336]   |   1 - 3   |  9.9872e+04|  1.2495e-02| AAA  |    | T8636c73 |             |
       |                 |              |                           |                16678.383292   |[191217.040967]      - [197212.82594494]   |   5 - 5   |  4.4939e+04|  1.8741e-03| AAA  |    | T8636c73 |             |
       |                 |              |                           |                16678.405039   |[191217.049963]      - [197212.82712336]   |   3 - 3   |  7.4904e+04|  3.1237e-03| AAA  |    | T8636c73 |             |
